ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
cardano,2018-01-15,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-02-14,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-03-16,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-04-15,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-05-15,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-06-14,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-07-14,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-08-13,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-09-12,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-10-12,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-11-11,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2018-12-11,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-01-10,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-02-09,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-03-11,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-04-10,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-05-10,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-06-09,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-07-09,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-08-08,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-09-07,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-10-07,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-11-06,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2019-12-06,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-01-05,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-02-04,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-03-05,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-04-04,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-05-04,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-06-03,True,0.0,0,0.0,10000.0,1,0.0,1.0,1.0,1,1,1
cardano,2020-07-03,True,0.0,0,0.9943820224719101,10000.0,1,5.181783550292085,1.0,1.0,1,1,1
